#redshift bias  rms[\muJy]
0.02 0.65094  1.00
0.02 0.65094  3.00
0.02 0.65094  5.00
0.02 0.65094  6.00
0.02 0.65094  7.30
0.02 0.65096  10.00
0.02 0.65104  23.00
0.02 0.65118  40.00
0.02 0.65139  70.00
0.02 0.65158  100.00
0.20 0.68876  0.00
0.20 0.68929  1.00
0.20 0.69051  3.00
0.20 0.69220  5.00
0.20 0.69329  6.00
0.20 0.69495  7.30
0.20 0.69935  10.00
0.20 0.73101  23.00
0.20 0.77070  40.00
0.20 0.81527  70.00
0.20 0.84253  100.00
0.40 0.73850  0.00
0.40 0.74201  1.00
0.40 0.76012  3.00
0.40 0.78995  5.00
0.40 0.80497  6.00
          0.40 0.82336  7.30
          0.40 0.85516  10.00
          0.40 0.93917  23.00
          0.40 0.99572  40.00
          0.40 1.05121  70.00
          0.40 1.08630  100.00
          0.60 0.79807  0.00
          0.60 0.81905  1.00
          0.60 0.91649  3.00
          0.60 0.98345  5.00
      0.60 1.00704  6.00
          0.60 1.03245  7.30
        0.60 1.07331  10.00
          0.60 1.17902  23.00
         0.60 1.24537  40.00
          0.60 1.28498  70.00
          0.60 1.28575  100.00
          0.80 0.86725  0.00
          0.80 0.95027  1.00
          0.80 1.00034  100.00
          0.80 1.11939  3.00
          0.80 1.20403  5.00
          0.80 1.23445  6.00
          0.80 1.26551  7.30
          0.80 1.31569  10.00
          0.80 1.34732  70.00
          0.80 1.43293  23.00
          0.80 1.45594  40.00
          1.00 0.94595  0.00
            1.00 1.11911  1.00
         1.00 1.33780  3.00
          1.00 1.43856  5.00
          1.00 1.47333  6.00
          1.00 1.48808  70.00
          1.00 1.51239  7.30
          1.00 1.57405  10.00
          1.00 1.71957  23.00
          1.00 1.72369  40.00
          #1.20 0.00000  70.00
          1.20 1.03270  0.00
          1.20 1.33621  1.00
          1.20 1.53970  40.00
          1.20 1.60304  3.00
          1.20 1.72260  5.00
       1.20 1.76506  6.00
          1.20 1.80617  7.30
          1.20 1.87692  10.00
          1.20 2.09402  23.00
           1.20 -nan  100.00
           #1.40 0.00000  40.00
           #1.40 0.00000  70.00
          1.40 1.12809  0.00
          1.40 1.59991  1.00
          1.40 1.91835  3.00
          1.40 2.05618  5.00
          1.40 2.09885  6.00
          1.40 2.13683  23.00
          1.40 2.14892  7.30
          1.40 2.22207  10.00
           1.40 -nan  100.00
          1.60 1.23298  0.00
          1.60 1.92270  1.00
          1.60 2.29129  3.00
          1.60 2.45827  5.00
          1.60 2.52832  6.00
          1.60 2.58699  7.30
          1.60 2.70097  10.00
           #1.80 0.00000  23.00
          1.80 1.34828  0.00
         1.80 2.22251  1.00
          1.80 2.63773  3.00
          1.80 2.87679  5.00
          1.80 3.01468  6.00
          1.80 3.12485  7.30
         1.80 3.34379  10.00
          2.00 1.46264  0.00
          2.00 2.59810  10.00
          2.00 2.63830  1.00
          2.00 3.11931  3.00
          2.00 3.31233  5.00
          2.00 3.38431  6.00
          2.00 3.40642  7.30

